sample_id,flight_path,tile_name,land_cover_mask_path,total_pixels,known_pixels,nodata_pixels,unknown_pixels,unknown_codes,class_1_water_pixels,class_2_trees_pixels,class_4_flooded_vegetation_pixels,class_5_crops_pixels,class_7_built_area_pixels,class_8_bare_ground_pixels,class_11_rangeland_pixels,class_1_water_pct,class_2_trees_pct,class_4_flooded_vegetation_pct,class_5_crops_pct,class_7_built_area_pct,class_8_bare_ground_pct,class_11_rangeland_pct
fp1_tile_26_55,fp1,tile_26_55.tif,land_cover_mask_tiles/tile_26_55.tif,65536,65536,0,0,,26,27001,0,37308,305,0,896,0.0396728515625,41.20025634765625,0.0,56.927490234375,0.46539306640625,0.0,1.3671875
fp1_tile_26_56,fp1,tile_26_56.tif,land_cover_mask_tiles/tile_26_56.tif,65536,65536,0,0,,0,34608,0,30778,20,1,129,0.0,52.8076171875,0.0,46.9635009765625,0.030517578125,0.00152587890625,0.19683837890625
fp1_tile_27_53,fp1,tile_27_53.tif,land_cover_mask_tiles/tile_27_53.tif,65536,65536,0,0,,35,39130,0,20197,1712,0,4462,0.05340576171875,59.7076416015625,0.0,30.81817626953125,2.6123046875,0.0,6.8084716796875
fp1_tile_27_54,fp1,tile_27_54.tif,land_cover_mask_tiles/tile_27_54.tif,65536,65536,0,0,,66,44283,0,14656,1338,0,5193,0.1007080078125,67.57049560546875,0.0,22.36328125,2.0416259765625,0.0,7.92388916015625
fp1_tile_27_55,fp1,tile_27_55.tif,land_cover_mask_tiles/tile_27_55.tif,65536,65536,0,0,,2,21500,0,42053,63,0,1918,0.0030517578125,32.806396484375,0.0,64.16778564453125,0.09613037109375,0.0,2.9266357421875
fp1_tile_27_56,fp1,tile_27_56.tif,land_cover_mask_tiles/tile_27_56.tif,65536,65536,0,0,,0,35797,0,27033,0,0,2706,0.0,54.62188720703125,0.0,41.24908447265625,0.0,0.0,4.1290283203125
fp1_tile_27_57,fp1,tile_27_57.tif,land_cover_mask_tiles/tile_27_57.tif,65536,65536,0,0,,0,34921,0,27824,0,0,2791,0.0,53.28521728515625,0.0,42.4560546875,0.0,0.0,4.25872802734375
fp1_tile_28_54,fp1,tile_28_54.tif,land_cover_mask_tiles/tile_28_54.tif,65536,65536,0,0,,0,45460,0,16524,649,0,2903,0.0,69.366455078125,0.0,25.213623046875,0.99029541015625,0.0,4.42962646484375
fp1_tile_28_55,fp1,tile_28_55.tif,land_cover_mask_tiles/tile_28_55.tif,65536,65536,0,0,,0,60907,0,4555,0,0,74,0.0,92.93670654296875,0.0,6.95037841796875,0.0,0.0,0.1129150390625
fp1_tile_28_56,fp1,tile_28_56.tif,land_cover_mask_tiles/tile_28_56.tif,65536,65536,0,0,,0,16287,0,48645,0,0,604,0.0,24.85198974609375,0.0,74.22637939453125,0.0,0.0,0.921630859375
fp1_tile_28_57,fp1,tile_28_57.tif,land_cover_mask_tiles/tile_28_57.tif,65536,65536,0,0,,2,27238,0,37008,1081,0,207,0.0030517578125,41.5618896484375,0.0,56.4697265625,1.64947509765625,0.0,0.31585693359375
fp1_tile_29_54,fp1,tile_29_54.tif,land_cover_mask_tiles/tile_29_54.tif,65536,65536,0,0,,22,41609,0,15217,4470,0,4218,0.0335693359375,63.49029541015625,0.0,23.21929931640625,6.8206787109375,0.0,6.4361572265625
fp1_tile_29_55,fp1,tile_29_55.tif,land_cover_mask_tiles/tile_29_55.tif,65536,65536,0,0,,0,58010,0,6662,0,0,864,0.0,88.5162353515625,0.0,10.1654052734375,0.0,0.0,1.318359375
fp1_tile_29_56,fp1,tile_29_56.tif,land_cover_mask_tiles/tile_29_56.tif,65536,65536,0,0,,0,29046,0,36486,0,0,4,0.0,44.3206787109375,0.0,55.6732177734375,0.0,0.0,0.006103515625
fp1_tile_29_57,fp1,tile_29_57.tif,land_cover_mask_tiles/tile_29_57.tif,65536,65536,0,0,,27,43400,0,15523,1142,2,5442,0.04119873046875,66.22314453125,0.0,23.68621826171875,1.7425537109375,0.0030517578125,8.3038330078125
fp1_tile_30_54,fp1,tile_30_54.tif,land_cover_mask_tiles/tile_30_54.tif,65536,65536,0,0,,449,37222,0,9569,10813,1,7482,0.68511962890625,56.7962646484375,0.0,14.60113525390625,16.49932861328125,0.00152587890625,11.4166259765625
